mass_kg,fatmass_kg,taxa,author,measure_estimate,family
275.0,17.7375,connochaetes_taurinus,pond_1978,measured,Bovidae
128.0,39.68,sus_scrofa,pond_1978,measured,Suidae
45359.237,11339.80925,balaenoptera_physalus,pond_1978,measured,Balaenopteridae
2195.39,625.68615,mirounga_leonina,pond_1978,measured,Phocidae
249.48,52.3908,lobodon_carcinophagus,pond_1978,measured,
174.0,68.73,ommatophoca_rossi,pond_1978,measured,
27345.1,11801.9,balaena_mysticetus,george_2007,measured,Balaenidae
14750.0,6551.4,balaena_mysticetus,george_2007,measured,Balaenidae
12170.2,6149.5,balaena_mysticetus,george_2007,measured,Balaenidae
4819.8,1883.0,balaena_mysticetus,george_2007,measured,Balaenidae
13439.2,5855.9,balaena_mysticetus,george_2007,measured,Balaenidae
4820.0,1595.42,balaena_mysticetus,george_2007,measured,Balaenidae
13439.0,4448.309,balaena_mysticetus,george_2007,measured,Balaenidae
12170.0,4028.27,balaena_mysticetus,george_2007,measured,Balaenidae
14750.0,4882.25,balaena_mysticetus,george_2007,measured,Balaenidae
27345.0,9051.195,balaena_mysticetus,george_2007,measured,Balaenidae
55088.0,18234.128,balaena_mysticetus,george_2007,measured,Balaenidae
40058.52632,17665.81011,balaena_mysticetus,whalinghistory,estimated,Balaenidae
35606.66327,15702.5385,eubalaena_australis,whalinghistory,estimated,Balaenidae
2001.032967,882.4555385,globicephala_macrorhynchus,whalinghistory,estimated,Delphinidae
12685.2,5594.1732,megaptera_novaeanglidae,whalinghistory,estimated,
21281.43052,9385.110859,physeter_macrocephalus,whalinghistory,estimated,Physeteridae
8768.571429,3866.94,eschrichtius_robustus,whalinghistory,estimated,Eschrichtiidae
1315.285714,580.041,grampus_griseus,whalinghistory,estimated,Delphinidae
26549.67857,11708.40825,cetean,whalinghistory,estimated,
2776.714286,1224.531,orcinus_orca,whalinghistory,estimated,Delphinidae
1.411,0.107,didelphis_marsuplialis,pitts_1968,measured,
0.9494,0.1041,didelphis_sp,pitts_1968,measured,
0.04464,0.00123,scalopus_aquaticus,pitts_1968,measured,Talpidae
0.00372,0.00016,sorex_cinereus,pitts_1968,measured,Soricidae
0.01409,0.0005,blarina_brevicauda,pitts_1968,measured,Soricidae
0.00419,7.0e-5,myotis_lucifugus,pitts_1968,measured,Vespertilionidae
0.01788,0.00151,eptesicus_fuscus,pitts_1968,measured,Vespertilionidae
0.00794,0.00033,nycteris_borealis,pitts_1968,measured,
0.01107,0.00022,molossus_major,pitts_1968,measured,
0.04047,0.00379,artibeus_jamaicensis,pitts_1968,measured,Phyllostomidae
0.06365,0.00622,artibeus_lituratus,pitts_1968,measured,Phyllostomidae
0.00722,0.00025,glossophaga_soricina,pitts_1968,measured,Phyllostomidae
0.03437,0.00238,phyllostomus_discolor,pitts_1968,measured,Phyllostomidae
0.09226,0.00541,phyllostomus_hastatus,pitts_1968,measured,Phyllostomidae
0.01539,0.001206,sturnira_lilium,pitts_1968,measured,Phyllostomidae
0.02203,0.001587,vampyrops_lineatus,pitts_1968,measured,Phyllostomidae
0.186,0.00877,callithrix_jacchus,pitts_1968,measured,Callitrichidae
2.459,0.2522,euphractos_sexcinctus,pitts_1968,measured,
0.1209,0.007,ochotona_collaris,pitts_1968,measured,Ochotonidae
1.638,0.088,marmota_monax,pitts_1968,measured,Sciuridae
2.75,0.985,marmota_monax,pitts_1968,measured,Sciuridae
3.558,0.749,marmota_caligata,pitts_1968,measured,Sciuridae
0.0607,0.00108,eutamias_minimus,pitts_1968,measured,Sciuridae
0.479,0.021,citellus_undulatus,pitts_1968,measured,
0.1665,0.0036,tamiasciurus_hudsonicus,pitts_1968,measured,Sciuridae
0.1928,0.0038,tamiasciurus_hudsonicus,pitts_1968,measured,Sciuridae
0.499,0.011,sciurus_carolinensis,pitts_1968,measured,Sciuridae
9.331,0.865,castor_canadensis,pitts_1968,measured,Castoridae
17.64,2.013,castor_canadensis,pitts_1968,measured,Castoridae
0.01699,0.00059,peromyscus_leucopus,pitts_1968,measured,Cricetidae
0.06162,0.00788,orzomys_palustris,pitts_1968,measured,
0.04162,0.00075,lemmus_trimucronatus,pitts_1968,measured,Cricetidae
0.01834,0.00014,clethrionomys_gapperi,pitts_1968,measured,Cricetidae
0.03138,0.0012,microtus_pennsylvanicus,pitts_1968,measured,Cricetidae
0.02527,0.00072,clethrionomys_rutilus,pitts_1968,measured,Cricetidae
0.02483,0.00045,microtus_oeconomus,pitts_1968,measured,Cricetidae
0.01941,0.00045,microtus_pinetorum,pitts_1968,measured,Cricetidae
1.18,0.086,ondatra_zibethica,pitts_1968,measured,
0.483,0.005,ondatra_zibethica,pitts_1968,measured,
0.01588,0.00096,mus_musculus,pitts_1968,measured,Muridae
0.02123,0.00195,mus_musculus_albino,pitts_1968,measured,
5.339,0.00674,erethizon_dorsatum,pitts_1968,measured,
1.565,0.1965,ciuniculus_paca,pitts_1968,measured,
2.097,0.2634,dasyprocta_aguti,pitts_1968,measured,Dasyproctidae
6.04,1.013,procyon_lotor,pitts_1968,measured,Procyonidae
0.1833,0.0031,mustela_erminea,pitts_1968,measured,Mustelidae
1.032,0.066,mustela_vison,pitts_1968,measured,Mustelidae
9.362,0.562,gulo_luscus,pitts_1968,measured,Mustelidae
7.688,1.12,felis_canadensis,pitts_1968,measured,Felidae
6.152,0.738,felis_rufus,pitts_1968,measured,Felidae
0.684,0.129,cavia_cobaya,pitts_1968,measured,Caviidae
486.0,165.0,bos_taurus,pitts_1968,measured,Bovidae
418.0,113.0,bos_taurus,pitts_1968,measured,Bovidae
387.0,100.0,bos_taurus,pitts_1968,measured,Bovidae
611.0,124.0,equus_caballus,pitts_1968,measured,Equidae
52000.0,17800.0,balaenoptera_physalus,pitts_1968,measured,Balaenopteridae
86000.0,32100.0,balaenoptera_musculus,pitts_1968,measured,Balaenopteridae
75.5,11.8,homo_sapiens,pitts_1968,measured,Hominidae
20.0,1.64112,capreolus_capreolus,navarrete_2011,measured,Cervidae
15.0,0.2978291,gazella_gazella,navarrete_2011,measured,Bovidae
12.9,2.559122,pudu_puda,navarrete_2011,measured,Cervidae
2.675,0.1704457,aonyx_cinerea,navarrete_2011,measured,
10.3,0.3453703,arctictis_binturong,navarrete_2011,measured,Viverridae
38.0,5.2469,canis_lupus_chango,navarrete_2011,measured,
1.96,0.05063539,chrotagale_owstoni,navarrete_2011,measured,
20.0,3.565812,cuon_alpinus,navarrete_2011,measured,Canidae
9.8,1.256756,felis_chaus,navarrete_2011,measured,Felidae
2.572565,0.143402,felis_silvestris,navarrete_2011,measured,Felidae
0.2603,0.01415466,helogale_parvula,navarrete_2011,measured,Herpestidae
3.1,0.6010944,leopardus_geoffroyi,navarrete_2011,measured,Felidae
7.9,0.3295232,lontra_canadensis,navarrete_2011,measured,Mustelidae
5.325,0.4653088,lutra_lutra,navarrete_2011,measured,Mustelidae
5.1,0.1777538,lutrogale_perspicillata,navarrete_2011,measured,Mustelidae
10.0,0.8346805,lynx_canadensis,navarrete_2011,measured,Felidae
17.5,4.639583,lynx_lynx,navarrete_2011,measured,Felidae
1.406361,0.04284593,martes_foina,navarrete_2011,measured,Mustelidae
1.603333,0.0632515,martes_martes,navarrete_2011,measured,Mustelidae
4.79,0.1649,martes_pennanti,navarrete_2011,measured,Mustelidae
