"","log_mass","log_fat"
"Aonyx cinereus",0.98394938034797,-1.76933850805584
"Lutra lutra",1.67241271159549,-0.765054007780823
"Lontra canadensis",2.06686275947298,-1.11010851780654
"Mustela nivalis",-3.43083218679185,-6.57845153183954
"Mustela putorius",-0.390576495614414,-2.35096649071986
"Mustela erminea",-1.50927588553512,-5.44914025628262
"Neovison vison",0.031498667059371,-2.71810053695571
"Procyon lotor",1.79840401194672,0.0129162252665462
"Potos flavus",1.36609165380237,-0.151951433277105
"Mephitis mephitis",0.371011680038785,-1.10370523573412
"Pusa hispida",10.3296047058411,9.54835606328673
"Halichoerus grypus",9.48421171076905,8.41968739393988
"Erignathus barbatus",10.7841873378206,9.8437961828232
"Lobodon carcinophaga",5.51937875165792,3.95873100339325
"Mirounga leonina",7.69411498626425,6.43884888755076
"Zalophus californianus",3.52636052461616,-0.373859179359674
"Odobenus rosmarus",10.9009341814893,9.69835578326449
"Cuon alpinus",2.99573227355399,1.27139179791659
"Vulpes corsac",0.729961153682662,-1.13383654231469
"Helogale parvula",-1.34592046698162,-4.25771138048775
"Proteles cristata",1.68639895357023,-1.8478112250517
"Chrotogale owstoni",0.672944473242426,-2.98310454004527
"Arctictis binturong",2.33214389523559,-1.06313810422782
"Felis silvestris",0.944903455656613,-1.94210340391248
"Felis catus",0.978326122793608,-1.27801411203511
"Felis chaus",2.28238238567653,0.228533797798367
"Prionailurus viverrinus",1.98787434815435,-0.0436175651557233
"Puma yagouaroundi",1.77495235091167,0.244055367154843
"Lynx lynx",2.86220088092947,1.5346244915099
"Lynx canadensis",2.03966067166799,0.113328685307003
"Lynx rufus",1.81677723220334,-0.303811454381665
"Leopardus geoffroyi",1.1314021114911,-0.509003285233952
"Crocidura russula",-4.65166302104,-7.43296891556281
"Blarina brevicauda",-4.13830271936341,-7.44219076838726
"Sorex cinereus",-5.59403161069708,-8.74033674273045
"Sorex araneus",-4.89151981320609,-8.07893826048508
"Talpa europaea",-2.96912929175946,-6.37043184370993
"Scalopus aquaticus",-3.10912496090908,-6.70074110959781
"Erinaceus europaeus",-0.198635915180522,-2.51137383600317
"Euphractus sexcinctus",0.899754763234056,-1.37753285545132
"Potorous tridactylus",-0.211956361923645,-4.70384752832684
"Notamacropus agilis",2.04122032885964,-2.39374360291877
"Trichosurus vulpecula",0.438254930931155,-3.55974491349186
"Didelphis marsupialis",0.344298672870677,-2.23492644452023
"Didelphis virginiana",0.968313759941307,-1.45682412731042
