mass_kg,fatmass_kg,taxa,author,measure_estimate,habitat
0.01834,0.00014,clethrionomys_gapperi,pitts_1968,measured,terrestrial
0.03138,0.0012,microtus_pennsylvanicus,pitts_1968,measured,terrestrial
0.02527,0.00072,clethrionomys_rutilus,pitts_1968,measured,terrestrial
0.02483,0.00045,microtus_oeconomus,pitts_1968,measured,terrestrial
0.01941,0.00045,microtus_pinetorum,pitts_1968,measured,terrestrial
1.18,0.086,ondatra_zibethica,pitts_1968,measured,terrestrial
0.483,0.005,ondatra_zibethica,pitts_1968,measured,terrestrial
0.01588,0.00096,mus_musculus,pitts_1968,measured,terrestrial
0.02123,0.00195,mus_musculus_albino,pitts_1968,measured,terrestrial
5.339,0.00674,erethizon_dorsatum,pitts_1968,measured,terrestrial
1.565,0.1965,ciuniculus_paca,pitts_1968,measured,terrestrial
2.097,0.2634,dasyprocta_aguti,pitts_1968,measured,terrestrial
6.04,1.013,procyon_lotor,pitts_1968,measured,terrestrial
0.1833,0.0031,mustela_erminea,pitts_1968,measured,terrestrial
1.032,0.066,mustela_vison,pitts_1968,measured,terrestrial
9.362,0.562,gulo_luscus,pitts_1968,measured,terrestrial
7.688,1.12,felis_canadensis,pitts_1968,measured,terrestrial
6.152,0.738,felis_rufus,pitts_1968,measured,terrestrial
0.684,0.129,cavia_cobaya,pitts_1968,measured,terrestrial
486,165,bos_taurus,pitts_1968,measured,terrestrial
418,113,bos_taurus,pitts_1968,measured,terrestrial
387,100,bos_taurus,pitts_1968,measured,terrestrial
611,124,equus_caballus,pitts_1968,measured,terrestrial
52000,17800,balaenoptera_physalus,pitts_1968,measured,aquatic
86000,32100,balaenoptera_musculus,pitts_1968,measured,aquatic
75.5,11.8,homo_sapiens,pitts_1968,measured,terrestrial
20,1.64112,capreolus_capreolus,navarrete_2011,measured,terrestrial
15,0.2978291,gazella_gazella,navarrete_2011,measured,terrestrial
12.9,2.559122,pudu_puda,navarrete_2011,measured,terrestrial
2.675,0.1704457,aonyx_cinerea,navarrete_2011,measured,terrestrial
10.3,0.3453703,arctictis_binturong,navarrete_2011,measured,terrestrial
38,5.2469,canis_lupus_chango,navarrete_2011,measured,terrestrial
1.96,0.05063539,chrotagale_owstoni,navarrete_2011,measured,terrestrial
20,3.565812,cuon_alpinus,navarrete_2011,measured,terrestrial
9.8,1.256756,felis_chaus,navarrete_2011,measured,terrestrial
2.572565,0.143402,felis_silvestris,navarrete_2011,measured,terrestrial
0.2603,0.01415466,helogale_parvula,navarrete_2011,measured,terrestrial
3.1,0.6010944,leopardus_geoffroyi,navarrete_2011,measured,terrestrial
7.9,0.3295232,lontra_canadensis,navarrete_2011,measured,aquatic
5.325,0.4653088,lutra_lutra,navarrete_2011,measured,aquatic
5.1,0.1777538,lutrogale_perspicillata,navarrete_2011,measured,aquatic
10,0.8346805,lynx_canadensis,navarrete_2011,measured,terrestrial
17.5,4.639583,lynx_lynx,navarrete_2011,measured,terrestrial
1.406361,0.04284593,martes_foina,navarrete_2011,measured,terrestrial
1.603333,0.0632515,martes_martes,navarrete_2011,measured,terrestrial
4.79,0.1649,martes_pennanti,navarrete_2011,measured,terrestrial
1.4492,0.33164,mephitis_mephitis,navarrete_2011,measured,terrestrial
0.25884,0.0055,mustela_erminea,navarrete_2011,measured,terrestrial
0.03236,0.00139,mustela_nivalis,navarrete_2011,measured,terrestrial
0.64,0.0577811,mustela_putorius,navarrete_2011,measured,terrestrial
75,0.9575935,panthera_tigris_altaica,navarrete_2011,measured,terrestrial
3.92,0.85903,potos_flavus,navarrete_2011,measured,terrestrial
7.3,0.95732,prionailurus_viverrinus,navarrete_2011,measured,terrestrial
5.4,0.1575817,proteles_cristata,navarrete_2011,measured,terrestrial
5.9,1.276415,puma_yagouaroundi,navarrete_2011,measured,terrestrial
2.075,0.3217963,vulpes_corsac,navarrete_2011,measured,terrestrial
34,0.6880738,zalophus_californianus,navarrete_2011,measured,aquatic
0.014748,0.004058,lasionycteris_noctivagans,navarrete_2011,measured,aerial
0.013508,0.00297,lasiurus_borealis,navarrete_2011,measured,aerial
0.02563667,0.001886667,nyctalus_noctula,navarrete_2011,measured,aerial
2.6335,0.232975,didelphis_virginiana,navarrete_2011,measured,terrestrial
7.7,0.0912873,macropus_agilis,navarrete_2011,measured,terrestrial
0.809,0.00906035,potorous_tridactylus,navarrete_2011,measured,terrestrial
1.55,0.02844608,trichosurus_vulpecula,navarrete_2011,measured,terrestrial
0.0178098,0.000672,blarina_brevicauda,navarrete_2011,measured,terrestrial
0.009545714,0.000591429,crocidura_russula,navarrete_2011,measured,terrestrial
0.949545,0.09397,erinaceus_europaeus,navarrete_2011,measured,terrestrial
0.01028,0.00038,neomys_anomalus,navarrete_2011,measured,terrestrial
0.01569,0.00111,neomys_fodiens,navarrete_2011,measured,terrestrial
0.00751,0.00031,sorex_araneus,navarrete_2011,measured,terrestrial
0.051348,0.00171142,talpa_europaea,navarrete_2011,measured,terrestrial
3.3387,0.1424,lepus_europaeus,navarrete_2011,measured,terrestrial
0.9717143,0.013357,sylvilagus_floridanus,navarrete_2011,measured,terrestrial
4.4,0.07429487,alouatta_sara,navarrete_2011,measured,terrestrial
0.3116,0.00553878,callithrix_jacchus,navarrete_2011,measured,terrestrial
0.163,0.02194998,cebuella_pygmaea,navarrete_2011,measured,terrestrial
1.75,0.1757024,cebus_apella,navarrete_2011,measured,terrestrial
0.231,0.01408628,cheirogaleus_medius,navarrete_2011,measured,terrestrial
5.3,0.239501,chlorocebus_pygerythrus,navarrete_2011,measured,terrestrial
9.75,0.1884211,colobus_guereza,navarrete_2011,measured,terrestrial
2.5,0.3846375,eulemur_fulvus_fulvus,navarrete_2011,measured,terrestrial
1.875,0.1489316,eulemur_macaco_macaco,navarrete_2011,measured,terrestrial
6.55,0.07432906,hylobates_concolor,navarrete_2011,measured,terrestrial
2.075,0.2102001,lemur_catta,navarrete_2011,measured,terrestrial
0.6416667,0.05550177,leontopithecus_chrysomelas,navarrete_2011,measured,terrestrial
15.86667,1.679105,macaca_arctoides,navarrete_2011,measured,terrestrial
5.6,0.3324978,macaca_nigra,navarrete_2011,measured,terrestrial
23,2.3321,mandrillus_sphinx,navarrete_2011,measured,terrestrial
23.25,1.006827,papio_hamadryas,navarrete_2011,measured,terrestrial
0.33,0.01118013,saguinus_fuscicollis_lagonotus,navarrete_2011,measured,terrestrial
0.624,0.06320022,saguinus_oedipus,navarrete_2011,measured,terrestrial
1.003,0.01658215,saimiri_boliviensis,navarrete_2011,measured,terrestrial
8.5,0.5865978,symphalangus_syndactylus,navarrete_2011,measured,terrestrial
11.4,0.4617018,theropithecus_gelada,navarrete_2011,measured,terrestrial
5,1.123962,trachypithecus_vetulus,navarrete_2011,measured,terrestrial
4.2,1.064779,varecia_rubra,navarrete_2011,measured,terrestrial
0.04247,0.00234,acomys_minous,navarrete_2011,measured,terrestrial
5.46,0.0525,agouti_paca,navarrete_2011,measured,terrestrial
0.0250425,0.0005375,apodemus_flavicollis,navarrete_2011,measured,terrestrial
0.018275,0.000895,apodemus_sylvaticus,navarrete_2011,measured,terrestrial
0.061805,0.001715,arvicola_terrestris,navarrete_2011,measured,terrestrial
15.56305,2.065727,castor_fiber,navarrete_2011,measured,terrestrial
4.1,0.05894356,dasyprocta_azarae,navarrete_2011,measured,terrestrial
3.4,0.1061941,dasyprocta_punctata,navarrete_2011,measured,terrestrial
8.43,0.2964615,dolichotis_patagonum,navarrete_2011,measured,terrestrial
0.030045,0.00366,gerbillus_perpallidus,navarrete_2011,measured,terrestrial
0.0551,0.001065333,glaucomys_volans,navarrete_2011,measured,terrestrial
0.08340667,0.01864,glis_glis,navarrete_2011,measured,terrestrial
34,1.656574,hydrochaeris_hydrochaeris,navarrete_2011,measured,terrestrial
11.25,0.3833212,hystrix_indica,navarrete_2011,measured,terrestrial
