mass,gains,costs
31.622776601683793,7077.334000968281,5337.345432947117
39.810717055349734,8911.042198229574,6380.979483763097
50.11872336272722,11182.72169454773,7629.231676924497
63.09573444801933,14008.895431642732,9121.581920676192
79.43282347242814,17522.399646992355,10905.615990226763
100.0,21858.257392783937,13039.540573540984
125.89254117941675,27238.897929366834,15590.213246213787
158.48931924611142,33906.69352284053,18639.10140931771
199.52623149688787,42092.864337472696,22286.52952433725
251.18864315095797,52227.63134305058,26634.398069116396
316.22776601683796,64200.90555226994,31758.01011136285
398.1071705534973,78342.44223244619,37781.768438924446
501.18723362727246,95507.68133936462,44938.21078044103
630.957344480193,116429.27353263716,53459.6206358213
794.3282347242813,141913.1236793985,63616.555541652735
1000.0,173009.19483502032,75718.11280489103
1258.9254117941675,210894.16884738064,90147.74658484566
1584.893192461114,257046.59253737194,107318.01013271626
1995.2623149688789,313381.6480764586,127831.14733532515
2511.88643150958,381962.7362002369,152211.8317049427
3162.2776601683795,465607.22011273814,181286.62693052058
3981.0717055349733,567650.2498517621,215984.96252217036
5011.872336272725,691895.3467292867,257292.1753865177
6309.57344480193,843486.2938649138,306654.8583676607
7943.282347242814,1.02806824257453e6,365296.3397364334
10000.0,1.2533191498090134e6,435399.4947252972
12589.254117941662,1.5276270366742716e6,518938.3571024327
15848.93192461114,1.8624685314831869e6,618356.3185590005
19952.62314968879,2.2703254353076327e6,737122.5251882726
25118.864315095823,2.767045604570898e6,878892.7604298097
