mass,gains,costs
31.622776601683793,5854.470661403935,5384.859082706957
39.810717055349734,7339.518216666332,6443.687868539364
50.11872336272722,9182.543432925388,7711.1353901593975
63.09573444801933,11491.004768854777,9227.381131082517
79.43282347242814,14332.942158494743,11043.334300737135
100.0,17851.188698269056,13217.030663229738
125.89254117941675,22226.327627094317,15818.414960324482
158.48931924611142,27632.575412236794,18932.459121649987
199.52623149688787,34288.14669171711,22661.24050969752
251.18864315095797,42558.04846154842,27122.6740693821
316.22776601683796,52727.36071140497,32464.33660853985
398.1071705534973,65263.690732465606,38858.97668853989
501.18723362727246,80773.71073733298,46509.81382574537
630.957344480193,99838.99534942534,55668.73306652953
794.3282347242813,123416.368831022,66624.9830616465
1000.0,152213.56601256665,79749.47284202595
1258.9254117941675,187787.33731504768,95446.38029726427
1584.893192461114,231466.62314706683,114232.22872464296
1995.2623149688789,285072.9157140878,136712.6151191441
2511.88643150958,351362.8944397071,163587.36564686676
3162.2776601683795,432536.46534762695,195735.59686519718
3981.0717055349733,531848.722306917,234214.0085231994
5011.872336272725,654175.212884313,280198.5106953097
6309.57344480193,804508.5418236335,335163.23860222823
7943.282347242814,986766.2520900591,401021.0713246595
10000.0,1.212207491069779e6,479587.8863815677
12589.254117941662,1.4865886888670237e6,573589.429481985
15848.93192461114,1.821871248634431e6,685877.8913379663
19952.62314968879,2.2328899115023776e6,819898.7128310255
25118.864315095823,2.733519804857484e6,979752.7291002322
