mass,gains,costs
31.622776601683793,5000.392093561898,5418.393006275033
39.810717055349734,6186.740758100322,6489.872114739093
50.11872336272722,7636.577731315778,7774.995314304493
63.09573444801933,9417.539711268182,9315.151358977819
79.43282347242814,11606.043686965097,11165.056078804702
100.0,14253.088288167713,13378.324314238596
125.89254117941675,17459.00404458776,16037.886618652185
158.48931924611142,21380.536610400184,19228.632535610126
199.52623149688787,26168.764240704582,23054.8244365949
251.18864315095797,32021.433220120143,27649.401518229606
316.22776601683796,38822.86177120991,33180.450517841295
398.1071705534973,47277.163574552156,39808.89364883874
501.18723362727246,57539.97776500694,47765.59702115946
630.957344480193,69738.57720089551,57355.93874164476
794.3282347242813,84588.21416976949,68855.44901079929
1000.0,102274.64410024747,82709.38621234737
1258.9254117941675,123467.62754104717,99357.64250297491
1584.893192461114,149338.79068606492,119491.90585262985
1995.2623149688789,180272.43439726118,143501.64893939486
2511.88643150958,216374.10734251654,172897.99830025554
3162.2776601683795,259591.76063886622,207818.09018256905
3981.0717055349733,311048.4653485445,250690.50038264322
5011.872336272725,373728.973606781,302497.4379795056
6309.57344480193,445418.19797581143,363659.23662743805
7943.282347242814,534154.6665857503,438310.76202709955
10000.0,633287.5840124022,532926.2780895262
12589.254117941662,754245.245030921,638249.42107077
15848.93192461114,895932.0018736697,784690.44978142
19952.62314968879,1.065430759249424e6,947355.8969290169
25118.864315095823,1.2453181245378281e6,1.1524830357909712e6
